event_time,player_id,event_type,stake,payout,session_id
1788223239,s2,spin,19.64,,s2-S1
1788223245,s2,lose,,,s2-S1
1788223250,s2,spin,20.53,,s2-S1
1788223256,s2,almost,,,s2-S1
1788223261,s2,spin,23.21,,s2-S1
1788223265,s2,cashout,,53.7,s2-S1
1788223275,s2,spin,9.08,,s2-S1
1788223281,s2,lose,,,s2-S1
1788223286,s2,spin,11.27,,s2-S1
1788223289,s2,lose,,,s2-S1
1788223291,s2,spin,12.02,,s2-S1
1788223296,s2,lose,,,s2-S1
1788223299,s2,spin,11.54,,s2-S1
1788223304,s2,almost,,,s2-S1
1788223307,s2,spin,9.91,,s2-S1
1788223312,s2,lose,,,s2-S1
1788223316,s2,spin,28.17,,s2-S1
1788223323,s2,cashout,,69.28,s2-S1
1788223329,s2,spin,3.79,,s2-S1
1788223336,s2,lose,,,s2-S1
1788223340,s2,spin,4.47,,s2-S1
1788223348,s2,lose,,,s2-S1
1788223352,s2,spin,10.16,,s2-S1
1788223356,s2,lose,,,s2-S1
1788223358,s2,spin,14.18,,s2-S1
1788223365,s2,cashout,,58.63,s2-S1
1788223369,s2,spin,9.02,,s2-S1
1788223375,s2,lose,,,s2-S1
1788223378,s2,spin,7.58,,s2-S1
1788223382,s2,lose,,,s2-S1
1788223385,s2,spin,10.63,,s2-S1
1788223393,s2,lose,,,s2-S1
1788223396,s2,spin,19.36,,s2-S1
1788223403,s2,cashout,,75.07,s2-S1
1788223413,s2,spin,3.78,,s2-S1
1788223419,s2,lose,,,s2-S1
1788223422,s2,spin,8.77,,s2-S1
1788223426,s2,lose,,,s2-S1
1788223428,s2,spin,11.13,,s2-S1
1788223434,s2,almost,,,s2-S1
1788223454,s2,signout,,,s2-S1
1788225361,s1,signin,,,s1-S1
1788225457,s1,topup,,,s1-S1
1788225504,s1,spin,6.01,,s1-S1
1788225509,s1,lose,,,s1-S1
1788225531,s1,spin,10.16,,s1-S1
1788225538,s1,lose,,,s1-S1
1788225556,s1,spin,5.33,,s1-S1
1788225561,s1,cashout,,13.41,s1-S1
1788225589,s1,signout,,,s1-S1
1788253505,s3,signin,,,s3-S1
1788253519,s3,topup,,,s3-S1
1788253557,s3,spin,5,,s3-S1
1788253564,s3,cashout,,7.13,s3-S1
1788253621,s3,spin,9.79,,s3-S1
1788253629,s3,cashout,,39.14,s3-S1
1788253700,s3,spin,7.95,,s3-S1
1788253704,s3,lose,,,s3-S1
1788253726,s3,spin,9.99,,s3-S1
1788253733,s3,lose,,,s3-S1
1788253761,s3,spin,4.99,,s3-S1
1788253768,s3,cashout,,6.44,s3-S1
1788253833,s3,spin,6.39,,s3-S1
1788253837,s3,lose,,,s3-S1
1788253856,s3,spin,8.01,,s3-S1
1788253860,s3,lose,,,s3-S1
1788253870,s3,spin,14.08,,s3-S1
1788253876,s3,cashout,,57.23,s3-S1
1788253928,s3,spin,9.47,,s3-S1
1788253932,s3,cashout,,16.47,s3-S1
1788253985,s3,spin,5.04,,s3-S1
1788253989,s3,lose,,,s3-S1
1788254004,s3,spin,12.79,,s3-S1
1788254012,s3,lose,,,s3-S1
1788254036,s3,spin,15.62,,s3-S1
1788254040,s3,cashout,,21.73,s3-S1
1788254083,s3,spin,3.32,,s3-S1
1788254089,s3,lose,,,s3-S1
1788254097,s3,spin,10.92,,s3-S1
1788254102,s3,lose,,,s3-S1
1788254112,s3,spin,7.75,,s3-S1
1788254116,s3,lose,,,s3-S1
1788254133,s3,spin,14.98,,s3-S1
1788254138,s3,lose,,,s3-S1
1788254155,s3,spin,21.27,,s3-S1
1788254163,s3,lose,,,s3-S1
1788254173,s3,spin,31.19,,s3-S1
1788254178,s3,cashout,,38.39,s3-S1
1788254199,s3,spin,5.46,,s3-S1
1788254205,s3,cashout,,14.68,s3-S1
1788254241,s3,spin,6.39,,s3-S1
1788254246,s3,cashout,,9.96,s3-S1
1788254276,s3,spin,3.65,,s3-S1
1788254283,s3,lose,,,s3-S1
1788254294,s3,spin,12.09,,s3-S1
1788254299,s3,lose,,,s3-S1
1788254312,s3,spin,16.44,,s3-S1
1788254319,s3,lose,,,s3-S1
1788254334,s3,spin,22.07,,s3-S1
1788254339,s3,lose,,,s3-S1
1788254351,s3,spin,13.27,,s3-S1
1788254357,s3,lose,,,s3-S1
1788254366,s3,spin,18.81,,s3-S1
1788254370,s3,lose,,,s3-S1
1788254382,s3,spin,55.4,,s3-S1
1788254387,s3,cashout,,118.8,s3-S1
1788254405,s3,spin,4.09,,s3-S1
1788254412,s3,lose,,,s3-S1
1788254419,s3,spin,5.71,,s3-S1
1788254423,s3,lose,,,s3-S1
1788254430,s3,spin,11.9,,s3-S1
1788254437,s3,cashout,,45.98,s3-S1
1788254456,s3,spin,9.8,,s3-S1
1788254462,s3,lose,,,s3-S1
1788254467,s3,spin,3.35,,s3-S1
1788254473,s3,lose,,,s3-S1
1788254484,s3,spin,12.84,,s3-S1
1788254490,s3,lose,,,s3-S1
1788254496,s3,spin,19.91,,s3-S1
1788254504,s3,lose,,,s3-S1
1788254512,s3,spin,18.22,,s3-S1
1788254518,s3,lose,,,s3-S1
1788254524,s3,spin,29.19,,s3-S1
1788254531,s3,cashout,,49.25,s3-S1
1788254546,s3,spin,4.54,,s3-S1
1788254553,s3,cashout,,15.29,s3-S1
1788254589,s3,signout,,,s3-S1
1788308991,s2,signin,,,s2-S2
1788309038,s2,topup,,,s2-S2
1788309124,s2,spin,5,,s2-S2
1788309130,s2,lose,,,s2-S2
1788309152,s2,spin,13.3,,s2-S2
1788309155,s2,lose,,,s2-S2
1788309183,s2,spin,6.08,,s2-S2
1788309190,s2,lose,,,s2-S2
1788309201,s2,spin,11.03,,s2-S2
1788309208,s2,lose,,,s2-S2
1788309220,s2,spin,23.41,,s2-S2
1788309225,s2,lose,,,s2-S2
1788309243,s2,spin,38.39,,s2-S2
1788309250,s2,cashout,,115.5,s2-S2
1788309284,s2,spin,2.4,,s2-S2
1788309288,s2,lose,,,s2-S2
1788309314,s2,spin,3.16,,s2-S2
1788309321,s2,cashout,,9.38,s2-S2
1788309365,s2,spin,5.59,,s2-S2
1788309372,s2,cashout,,20.32,s2-S2
1788309403,s2,spin,5.46,,s2-S2
1788309407,s2,almost,,,s2-S2
1788309426,s2,spin,2.84,,s2-S2
1788309433,s2,lose,,,s2-S2
1788309447,s2,spin,11.8,,s2-S2
1788309454,s2,lose,,,s2-S2
1788309470,s2,spin,20.95,,s2-S2
1788309476,s2,lose,,,s2-S2
1788309488,s2,spin,8.76,,s2-S2
1788309496,s2,lose,,,s2-S2
1788309507,s2,spin,26.97,,s2-S2
1788309513,s2,lose,,,s2-S2
1788309532,s2,spin,53.14,,s2-S2
1788309539,s2,lose,,,s2-S2
1788309550,s2,spin,77.61,,s2-S2
1788309555,s2,lose,,,s2-S2
1788309564,s2,spin,22.87,,s2-S2
1788309568,s2,lose,,,s2-S2
1788309586,s2,spin,38.56,,s2-S2
1788309593,s2,lose,,,s2-S2
1788309601,s2,spin,125.34,,s2-S2
1788309605,s2,lose,,,s2-S2
1788309618,s2,spin,197.38,,s2-S2
1788309623,s2,lose,,,s2-S2
1788309633,s2,spin,177.27,,s2-S2
1788309640,s2,almost,,,s2-S2
1788309651,s2,spin,204.22,,s2-S2
1788309655,s2,lose,,,s2-S2
1788309665,s2,spin,466.91,,s2-S2
1788309670,s2,lose,,,s2-S2
1788309677,s2,spin,417.66,,s2-S2
1788309685,s2,lose,,,s2-S2
1788309700,s2,spin,578.15,,s2-S2
1788309704,s2,lose,,,s2-S2
1788309712,s2,spin,507.22,,s2-S2
1788309715,s2,cashout,,869.43,s2-S2
1788309732,s2,spin,3.77,,s2-S2
1788309739,s2,lose,,,s2-S2
1788309747,s2,spin,5.17,,s2-S2
1788309753,s2,lose,,,s2-S2
1788309761,s2,spin,14.6,,s2-S2
1788309766,s2,lose,,,s2-S2
1788309777,s2,spin,6.01,,s2-S2
1788309782,s2,almost,,,s2-S2
1788309787,s2,spin,17.37,,s2-S2
1788309793,s2,lose,,,s2-S2
1788309804,s2,spin,12.65,,s2-S2
1788309810,s2,lose,,,s2-S2
1788309816,s2,spin,59.75,,s2-S2
1788309820,s2,lose,,,s2-S2
1788309830,s2,spin,30.32,,s2-S2
1788309834,s2,lose,,,s2-S2
1788309841,s2,spin,82.04,,s2-S2
1788309849,s2,lose,,,s2-S2
1788309857,s2,spin,69.73,,s2-S2
1788309861,s2,lose,,,s2-S2
1788309864,s2,spin,172.88,,s2-S2
1788309872,s2,lose,,,s2-S2
1788309879,s2,spin,99.19,,s2-S2
1788309883,s2,lose,,,s2-S2
1788309886,s2,spin,198.83,,s2-S2
1788309893,s2,lose,,,s2-S2
1788309897,s2,spin,430.4,,s2-S2
1788309902,s2,lose,,,s2-S2
1788309906,s2,spin,482.29,,s2-S2
1788309913,s2,lose,,,s2-S2
1788309917,s2,spin,879.02,,s2-S2
1788309921,s2,lose,,,s2-S2
1788309925,s2,spin,275.31,,s2-S2
1788309931,s2,lose,,,s2-S2
1788309935,s2,spin,487.97,,s2-S2
1788309941,s2,lose,,,s2-S2
1788309943,s2,spin,1091.68,,s2-S2
1788309946,s2,lose,,,s2-S2
1788309950,s2,spin,1458.85,,s2-S2
1788309954,s2,lose,,,s2-S2
1788309955,s2,spin,3083.24,,s2-S2
1788309960,s2,lose,,,s2-S2
1788309962,s2,spin,1643.73,,s2-S2
1788309968,s2,lose,,,s2-S2
1788309969,s2,spin,1755.33,,s2-S2
1788309973,s2,lose,,,s2-S2
1788309975,s2,spin,6007.58,,s2-S2
1788309978,s2,lose,,,s2-S2
1788309981,s2,spin,13037.26,,s2-S2
1788309986,s2,cashout,,38786.05,s2-S2
1788309994,s2,spin,7.98,,s2-S2
1788310001,s2,cashout,,20.06,s2-S2
1788310008,s2,spin,6.4,,s2-S2
1788310015,s2,lose,,,s2-S2
1788310046,s2,signout,,,s2-S2
1788348095,s3,signin,,,s3-S3
1788348116,s3,topup,,,s3-S3
1788348165,s3,spin,8.71,,s3-S3
1788348171,s3,lose,,,s3-S3
1788348195,s3,spin,7.68,,s3-S3
1788348201,s3,lose,,,s3-S3
1788348225,s3,spin,15.6,,s3-S3
1788348228,s3,cashout,,25.76,s3-S3
1788348292,s3,spin,3.05,,s3-S3
1788348299,s3,lose,,,s3-S3
1788348325,s3,spin,8.94,,s3-S3
1788348332,s3,lose,,,s3-S3
1788348353,s3,spin,16.95,,s3-S3
1788348356,s3,lose,,,s3-S3
1788348377,s3,spin,13.89,,s3-S3
1788348382,s3,lose,,,s3-S3
1788348406,s3,spin,13.33,,s3-S3
1788348410,s3,lose,,,s3-S3
1788348455,s3,signout,,,s3-S3
1788362401,s2,signin,,,s2-S3
1788362483,s2,topup,,,s2-S3
1788362563,s2,spin,4.22,,s2-S3
1788362568,s2,cashout,,17.3,s2-S3
1788362654,s2,spin,9.71,,s2-S3
1788362658,s2,lose,,,s2-S3
1788362687,s2,spin,4.28,,s2-S3
1788362692,s2,almost,,,s2-S3
1788362718,s2,spin,12.18,,s2-S3
1788362724,s2,cashout,,31.9,s2-S3
1788362779,s2,spin,4.9,,s2-S3
1788362784,s2,almost,,,s2-S3
1788362807,s2,spin,5.89,,s2-S3
1788362813,s2,almost,,,s2-S3
1788362824,s2,spin,4.91,,s2-S3
1788362827,s2,lose,,,s2-S3
1788362848,s2,spin,5.58,,s2-S3
1788362851,s2,lose,,,s2-S3
1788362866,s2,spin,22.34,,s2-S3
1788362871,s2,lose,,,s2-S3
1788362885,s2,spin,36.22,,s2-S3
1788362891,s2,lose,,,s2-S3
1788362908,s2,spin,54.59,,s2-S3
1788362914,s2,lose,,,s2-S3
1788362938,s2,spin,52.64,,s2-S3
1788362942,s2,lose,,,s2-S3
1788362964,s2,spin,107.81,,s2-S3
1788362969,s2,cashout,,291.26,s2-S3
1788363010,s2,spin,3.78,,s2-S3
1788363017,s2,lose,,,s2-S3
1788363039,s2,signout,,,s2-S3
1788372841,s1,signin,,,s1-S3
1788372926,s1,topup,,,s1-S3
1788373006,s1,spin,3.12,,s1-S3
1788373009,s1,cashout,,3.92,s1-S3
1788373087,s1,spin,4.56,,s1-S3
1788373093,s1,cashout,,14.98,s1-S3
1788373178,s1,spin,3.96,,s1-S3
1788373186,s1,almost,,,s1-S3
1788373225,s1,signout,,,s1-S3
1788373724,s1,signin,,,s1-S2
1788373797,s1,topup,,,s1-S2
1788373882,s1,spin,3.57,,s1-S2
1788373886,s1,cashout,,5.26,s1-S2
1788373968,s1,spin,4.83,,s1-S2
1788373976,s1,lose,,,s1-S2
1788373988,s1,spin,11.03,,s1-S2
1788373994,s1,lose,,,s1-S2
1788374015,s1,spin,16.26,,s1-S2
1788374022,s1,cashout,,53.36,s1-S2
1788374063,s1,spin,10,,s1-S2
1788374070,s1,almost,,,s1-S2
1788374085,s1,spin,7.16,,s1-S2
1788374090,s1,lose,,,s1-S2
1788374111,s1,spin,8.21,,s1-S2
1788374118,s1,lose,,,s1-S2
1788374144,s1,spin,16.81,,s1-S2
1788374148,s1,cashout,,46.24,s1-S2
1788374200,s1,spin,3.79,,s1-S2
1788374206,s1,lose,,,s1-S2
1788374223,s1,spin,7,,s1-S2
1788374227,s1,almost,,,s1-S2
1788374248,s1,spin,17.38,,s1-S2
1788374255,s1,almost,,,s1-S2
1788374279,s1,spin,22.33,,s1-S2
1788374285,s1,lose,,,s1-S2
1788374301,s1,spin,16.27,,s1-S2
1788374309,s1,almost,,,s1-S2
1788374325,s1,spin,28.03,,s1-S2
1788374329,s1,lose,,,s1-S2
1788374347,s1,spin,29.88,,s1-S2
1788374353,s1,lose,,,s1-S2
1788374369,s1,spin,80.9,,s1-S2
1788374375,s1,cashout,,247.54,s1-S2
1788374412,s1,spin,8.33,,s1-S2
1788374415,s1,lose,,,s1-S2
1788374450,s1,signout,,,s1-S2
1788386888,s3,signin,,,s3-S2
1788386974,s3,spin,3.55,,s3-S2
1788386981,s3,lose,,,s3-S2
1788386996,s3,spin,3.9,,s3-S2
1788387001,s3,cashout,,11.41,s3-S2
1788387065,s3,spin,6.62,,s3-S2
1788387070,s3,almost,,,s3-S2
1788387080,s3,spin,10.95,,s3-S2
1788387086,s3,lose,,,s3-S2
1788387109,s3,spin,12.03,,s3-S2
1788387114,s3,cashout,,44.2,s3-S2
1788387187,s3,spin,7.82,,s3-S2
1788387195,s3,cashout,,11.46,s3-S2
1788387226,s3,spin,4.79,,s3-S2
1788387230,s3,lose,,,s3-S2
1788387251,s3,spin,7.98,,s3-S2
1788387254,s3,lose,,,s3-S2
1788387267,s3,spin,8.24,,s3-S2
1788387270,s3,lose,,,s3-S2
1788387293,s3,spin,12.86,,s3-S2
1788387297,s3,lose,,,s3-S2
1788387308,s3,spin,10.3,,s3-S2
1788387313,s3,cashout,,34.17,s3-S2
1788387339,s3,spin,2.17,,s3-S2
1788387345,s3,almost,,,s3-S2
1788387363,s3,spin,11.94,,s3-S2
1788387368,s3,lose,,,s3-S2
1788387383,s3,spin,17.48,,s3-S2
1788387390,s3,cashout,,72.8,s3-S2
1788387415,s3,spin,8.66,,s3-S2
1788387420,s3,lose,,,s3-S2
1788387440,s3,spin,10.44,,s3-S2
1788387447,s3,lose,,,s3-S2
1788387461,s3,spin,16.56,,s3-S2
1788387468,s3,lose,,,s3-S2
1788387476,s3,spin,5.66,,s3-S2
1788387483,s3,lose,,,s3-S2
1788387490,s3,spin,19.67,,s3-S2
1788387495,s3,lose,,,s3-S2
1788387503,s3,spin,16.22,,s3-S2
1788387508,s3,lose,,,s3-S2
1788387520,s3,spin,38.85,,s3-S2
1788387524,s3,lose,,,s3-S2
1788387536,s3,spin,49.86,,s3-S2
1788387541,s3,lose,,,s3-S2
1788387558,s3,spin,55.26,,s3-S2
1788387565,s3,lose,,,s3-S2
1788387573,s3,spin,40.56,,s3-S2
1788387578,s3,lose,,,s3-S2
1788387583,s3,spin,112.1,,s3-S2
1788387587,s3,cashout,,325.67,s3-S2
1788387630,s3,spin,5.85,,s3-S2
1788387634,s3,lose,,,s3-S2
1788387640,s3,spin,6.1,,s3-S2
1788387644,s3,lose,,,s3-S2
1788387649,s3,spin,14.79,,s3-S2
1788387657,s3,almost,,,s3-S2
1788387669,s3,spin,6.02,,s3-S2
1788387674,s3,lose,,,s3-S2
1788387684,s3,spin,32.52,,s3-S2
1788387691,s3,lose,,,s3-S2
1788387699,s3,spin,25.41,,s3-S2
1788387703,s3,lose,,,s3-S2
1788387710,s3,spin,23.93,,s3-S2
1788387715,s3,cashout,,43.68,s3-S2
1788387738,s3,spin,7.47,,s3-S2
1788387743,s3,lose,,,s3-S2
1788387753,s3,spin,10.94,,s3-S2
1788387758,s3,cashout,,24.43,s3-S2
1788387780,s3,spin,3.35,,s3-S2
1788387786,s3,cashout,,11.86,s3-S2
1788387802,s3,spin,3.21,,s3-S2
1788387807,s3,cashout,,12.65,s3-S2
1788387823,s3,spin,5.55,,s3-S2
1788387830,s3,cashout,,13.01,s3-S2
1788387848,s3,spin,9.1,,s3-S2
1788387853,s3,lose,,,s3-S2
1788387858,s3,spin,11.83,,s3-S2
1788387863,s3,lose,,,s3-S2
1788387867,s3,spin,6.27,,s3-S2
1788387872,s3,lose,,,s3-S2
1788387878,s3,spin,17.62,,s3-S2
1788387881,s3,cashout,,38.15,s3-S2
1788387893,s3,spin,3.63,,s3-S2
1788387900,s3,cashout,,4.58,s3-S2
1788387909,s3,spin,6.06,,s3-S2
1788387914,s3,lose,,,s3-S2
1788387916,s3,spin,7.28,,s3-S2
1788387924,s3,lose,,,s3-S2
1788387926,s3,spin,15.34,,s3-S2
1788387933,s3,lose,,,s3-S2
1788387937,s3,spin,19.7,,s3-S2
1788387943,s3,lose,,,s3-S2
1788387984,s3,signout,,,s3-S2
1788395044,s1,signin,,,s1-S4
1788395139,s1,topup,,,s1-S4
1788395214,s1,spin,7.83,,s1-S4
1788395218,s1,lose,,,s1-S4
1788395244,s1,spin,10.29,,s1-S4
1788395251,s1,cashout,,41.7,s1-S4
1788395282,s1,spin,2.87,,s1-S4
1788395288,s1,lose,,,s1-S4
1788395307,s1,spin,11.58,,s1-S4
1788395313,s1,lose,,,s1-S4
1788395352,s1,signout,,,s1-S4
1788397898,s2,signin,,,s2-S4
1788397930,s2,topup,,,s2-S4
1788397999,s2,spin,7.78,,s2-S4
1788398004,s2,lose,,,s2-S4
1788398027,s2,spin,11.85,,s2-S4
1788398031,s2,lose,,,s2-S4
1788398048,s2,signout,,,s2-S4
1788402591,s3,signin,,,s3-S4
1788402638,s3,topup,,,s3-S4
1788402693,s3,spin,2.36,,s3-S4
1788402698,s3,lose,,,s3-S4
1788402715,s3,spin,5.75,,s3-S4
1788402719,s3,lose,,,s3-S4
1788402738,s3,spin,10.83,,s3-S4
1788402745,s3,almost,,,s3-S4
1788402765,s3,spin,24.33,,s3-S4
1788402768,s3,almost,,,s3-S4
1788402794,s3,spin,30.97,,s3-S4
1788402799,s3,lose,,,s3-S4
1788402809,s3,spin,31.71,,s3-S4
1788402814,s3,lose,,,s3-S4
1788402830,s3,spin,26.81,,s3-S4
1788402835,s3,lose,,,s3-S4
1788402856,s3,spin,29.05,,s3-S4
1788402861,s3,lose,,,s3-S4
1788402887,s3,spin,88.29,,s3-S4
1788402892,s3,lose,,,s3-S4
1788402916,s3,spin,40.71,,s3-S4
1788402921,s3,lose,,,s3-S4
1788402945,s3,spin,178.84,,s3-S4
1788402949,s3,cashout,,312.85,s3-S4
1788402975,s3,spin,9.15,,s3-S4
1788402979,s3,lose,,,s3-S4
1788402993,s3,spin,8.37,,s3-S4
1788402996,s3,lose,,,s3-S4
1788403018,s3,spin,6.68,,s3-S4
1788403026,s3,lose,,,s3-S4
1788403037,s3,spin,14.66,,s3-S4
1788403044,s3,lose,,,s3-S4
1788403063,s3,spin,13.83,,s3-S4
1788403067,s3,lose,,,s3-S4
1788403080,s3,spin,37.76,,s3-S4
1788403088,s3,cashout,,157.69,s3-S4
1788403119,s3,spin,6.76,,s3-S4
1788403127,s3,cashout,,17.55,s3-S4
1788403161,s3,spin,4.94,,s3-S4
1788403164,s3,lose,,,s3-S4
1788403175,s3,spin,12.46,,s3-S4
1788403181,s3,cashout,,21.75,s3-S4
1788403230,s3,spin,2.4,,s3-S4
1788403238,s3,lose,,,s3-S4
1788403253,s3,spin,12.77,,s3-S4
1788403256,s3,lose,,,s3-S4
1788403270,s3,spin,17.19,,s3-S4
1788403277,s3,lose,,,s3-S4
1788403293,s3,spin,20.03,,s3-S4
1788403299,s3,cashout,,34.72,s3-S4
1788403323,s3,spin,2.92,,s3-S4
1788403329,s3,lose,,,s3-S4
1788403336,s3,spin,8.59,,s3-S4
1788403342,s3,lose,,,s3-S4
1788403355,s3,spin,11.56,,s3-S4
1788403359,s3,lose,,,s3-S4
1788403373,s3,spin,8.88,,s3-S4
1788403377,s3,cashout,,25.64,s3-S4
1788403412,s3,signout,,,s3-S4
1788455498,s2,signin,,,s2-S5
1788455528,s2,topup,,,s2-S5
1788455597,s2,spin,5.98,,s2-S5
1788455602,s2,lose,,,s2-S5
1788455632,s2,spin,6.5,,s2-S5
1788455638,s2,lose,,,s2-S5
1788455669,s2,signout,,,s2-S5
1788459988,s1,signin,,,s1-S5
1788460039,s1,topup,,,s1-S5
1788460125,s1,spin,2.55,,s1-S5
1788460131,s1,lose,,,s1-S5
1788460161,s1,spin,2.97,,s1-S5
1788460166,s1,almost,,,s1-S5
1788460186,s1,spin,10.04,,s1-S5
1788460191,s1,lose,,,s1-S5
1788460215,s1,spin,9.06,,s1-S5
1788460218,s1,lose,,,s1-S5
1788460241,s1,spin,6.89,,s1-S5
1788460245,s1,lose,,,s1-S5
1788460269,s1,spin,17.77,,s1-S5
1788460275,s1,lose,,,s1-S5
1788460293,s1,spin,46.6,,s1-S5
1788460300,s1,lose,,,s1-S5
1788460316,s1,spin,18.61,,s1-S5
1788460323,s1,lose,,,s1-S5
1788460337,s1,spin,75.96,,s1-S5
1788460342,s1,almost,,,s1-S5
1788460360,s1,spin,35.14,,s1-S5
1788460368,s1,lose,,,s1-S5
1788460386,s1,spin,200.47,,s1-S5
1788460394,s1,cashout,,682.82,s1-S5
1788460435,s1,spin,4.24,,s1-S5
1788460440,s1,lose,,,s1-S5
1788460463,s1,spin,11.9,,s1-S5
1788460467,s1,lose,,,s1-S5
1788460490,s1,spin,4.38,,s1-S5
1788460493,s1,lose,,,s1-S5
1788460501,s1,spin,10.54,,s1-S5
1788460506,s1,lose,,,s1-S5
1788460520,s1,spin,14.75,,s1-S5
1788460526,s1,lose,,,s1-S5
1788460544,s1,spin,19.65,,s1-S5
1788460549,s1,lose,,,s1-S5
1788460556,s1,spin,47.66,,s1-S5
1788460560,s1,lose,,,s1-S5
1788460577,s1,spin,19.55,,s1-S5
1788460581,s1,cashout,,23.84,s1-S5
1788460600,s1,spin,6.39,,s1-S5
1788460606,s1,cashout,,15.44,s1-S5
1788460630,s1,spin,5.21,,s1-S5
1788460636,s1,almost,,,s1-S5
1788460651,s1,spin,13.48,,s1-S5
1788460656,s1,almost,,,s1-S5
1788460665,s1,spin,9.55,,s1-S5
1788460670,s1,almost,,,s1-S5
1788460687,s1,spin,8.92,,s1-S5
1788460695,s1,lose,,,s1-S5
1788460702,s1,spin,24.41,,s1-S5
1788460705,s1,lose,,,s1-S5
1788460716,s1,spin,20.4,,s1-S5
1788460724,s1,lose,,,s1-S5
1788460731,s1,spin,26.78,,s1-S5
1788460737,s1,lose,,,s1-S5
1788460746,s1,spin,70.05,,s1-S5
1788460752,s1,lose,,,s1-S5
1788460766,s1,spin,59.09,,s1-S5
1788460772,s1,lose,,,s1-S5
1788460781,s1,spin,55.43,,s1-S5
1788460786,s1,lose,,,s1-S5
1788460797,s1,spin,150.86,,s1-S5
1788460803,s1,lose,,,s1-S5
1788460812,s1,spin,180.63,,s1-S5
1788460816,s1,lose,,,s1-S5
1788460822,s1,spin,303.83,,s1-S5
1788460829,s1,lose,,,s1-S5
1788460839,s1,spin,226.12,,s1-S5
1788460845,s1,lose,,,s1-S5
1788460855,s1,spin,508.14,,s1-S5
1788460861,s1,cashout,,829.53,s1-S5
1788460880,s1,spin,7.58,,s1-S5
1788460887,s1,cashout,,30.2,s1-S5
1788460910,s1,spin,9.01,,s1-S5
1788460914,s1,lose,,,s1-S5
1788460920,s1,spin,10.41,,s1-S5
1788460925,s1,cashout,,22.41,s1-S5
1788460945,s1,spin,3.29,,s1-S5
